Sample	Region	Sex	Platform	Population	PC1	PC2	PC3	PC4	PC5	Longitude-E	Latitude-N	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
abh107	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00618478	-0.00953056	0.00501085	0.00364593	0.000621674	41	43	0.00110478	0.00662676	-0.0146414	0.00334295	-2.24E-05	-0.0102678	0.00169058	0.00320154	-0.00465883	0.000735615	0.00138561	0.000639485	0.000373839	-0.00152813	-0.000604065
abh119	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00622528	-0.0100693	0.00552497	0.00449688	0.000144433	41	43	0.00097722	0.00652918	-0.0145897	0.00426182	0.000413672	-0.00983893	0.00177495	0.00295367	-0.00391939	0.0005214	0.000422125	0.00113427	-0.00032265	-0.0014704	-0.00129293
abh122	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00619088	-0.00937361	0.00584858	0.00344031	0.000476546	41	43	0.00136406	0.00582585	-0.0127405	0.00342452	9.88E-05	-0.00900106	0.000366249	0.000885529	-0.00365751	-0.000483812	0.000443755	0.00034496	-0.000380009	-0.000634017	-0.00122484
abh133	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00602831	-0.00962362	0.00597745	0.00384348	-0.000222552	41	43	0.000638115	0.00622993	-0.0142452	0.003396	-0.000506787	-0.0082274	0.0012889	0.00220017	-0.00402613	0.000861303	0.000508642	0.000308511	-0.000504534	-0.00095115	-0.00176566
abh147	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00630029	-0.0103719	0.00522225	0.00321433	0.000533407	41	43	0.000652573	0.00639327	-0.0138057	0.00299897	0.000702856	-0.00916884	0.000408982	0.000114094	-0.0041193	0.000387777	-3.66E-05	0.000502885	0.000239255	-0.000286333	-0.000728622
abh154	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00621055	-0.00999107	0.00672021	0.00434651	0.000711827	41	43	0.000946065	0.00750304	-0.0160982	0.00382506	-9.26E-05	-0.0108175	0.00218442	0.00254699	-0.005767	0.00120405	0.000424358	-0.0013562	0.000130221	-0.00164484	-0.000230849
abh24	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00544609	-0.00973646	0.00613642	0.00431178	7.18E-05	41	43	0.00126283	0.00704038	-0.0146286	0.00448208	0.000924182	-0.008385	0.00182108	0.00298125	-0.00473206	-0.000195172	0.000684176	0.000410955	-6.80E-05	-0.000227625	-0.000172543
abh27	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00623589	-0.0103666	0.00504007	0.00273728	-0.000304203	41	43	0.000891775	0.00582189	-0.0134999	0.00293816	5.66E-05	-0.00957918	0.00219893	0.00257526	-0.00399136	0.0012113	0.000487661	-0.000298798	-0.000607582	-0.00175859	-0.00130966
abh41	Eurasia-SW	M	Affy Human Origins	Abkhasian	-0.00624895	-0.00937753	0.0045889	0.00258146	0.00011957	41	43	0.000402872	0.00553288	-0.0132995	0.00366473	-1.14E-05	-0.00983318	0.00227261	0.00274052	-0.00394714	0.000636421	-0.000143065	5.70E-05	-0.000571118	-0.00130352	-0.0011708
Adana23108	Eurasia-SW	M	Affy Human Origins	Turkish_Adana	-0.00514183	-0.0109143	0.00712536	0.00204574	-0.00151268	35.5	37	0.00259491	0.0138548	-0.0247254	0.0045252	0.000327843	-0.0104583	0.000295221	-0.000605214	-0.0056479	0.000289371	0.000369113	0.00117081	-0.000769405	-0.00143244	-0.000899212
Adana23112	Eurasia-SW	M	Affy Human Origins	Turkish_Adana	-0.00592565	-0.00626776	0.00430783	0.00195812	-0.000726138	35.5	37	0.00127312	0.00641413	-0.0111741	0.00195535	-0.00038264	-0.0128041	0.00079426	-0.000242213	-0.00399367	-0.000305706	0.00102077	0.0002572	0.000587796	-0.000978665	-0.00095371
Adana23113	Eurasia-SW	M	Affy Human Origins	Turkish_Adana	-0.00592964	-0.00936058	0.0064398	0.006331	0.000353334	35.5	37	0.00192104	0.00843238	-0.0154513	0.00253739	1.61E-05	-0.0119995	0.000120846	0.000338113	-0.00430916	0.000164277	0.000814927	7.04E-05	0.000438437	-0.00103428	-0.00125542
Adana23114	Eurasia-SW	F	Affy Human Origins	Turkish_Adana	-0.00575799	-0.0096936	0.005594	0.00258009	-0.00175971	35.5	37	0.00254	0.010478	-0.0182442	0.00290035	-6.49E-05	-0.0122851	8.54E-05	-4.67E-05	-0.00475897	0.000493211	0.000422152	-5.30E-05	0.000480475	-0.000718872	-0.00150738
Adana23117	Eurasia-SW	M	Affy Human Origins	Turkish_Adana	-0.00579268	-0.00828925	0.00442527	0.0015288	-0.000587103	35.5	37	0.00159768	0.00699862	-0.0141901	0.00347977	0.00015799	-0.0116616	0.000358142	5.05E-05	-0.00327866	0.000129441	0.000858964	0.000450807	0.000908778	-0.00102735	-0.00188558
